Prog 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVICE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATOR=,js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOT=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROG.NAME=,NGTB_HighTemp.TST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN=,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T PT=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT=,,@ 85 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
1,,9.02,5.62,0.3981,0.000574,0.000794,0.001089,0.00278,4.092,4.092,4.568,4.568,1.004,,1.301,,1.479,,1.771,,1.992,,2.212,,2.393,,2.565,,2.893,,3.542,,4.055,,0.7428,,0.953,,1.092,,1.357,,1.561,,1.728,,1.885,,2.031,,2.298,,2.772,,3.095,,1.85,2.49
2,,9.67,7.2,0.3905,0.000564,0.000793,0.001045,0.002397,4.099,4.099,4.575,4.575,1.007,,1.304,,1.481,,1.775,,1.997,,2.216,,2.397,,2.569,,2.898,,3.545,,4.057,,0.7436,,0.9555,,1.091,,1.352,,1.564,,1.727,,1.885,,2.03,,2.296,,2.769,,3.09,,7.52,1.78
3,,9.3,6.97,0.4136,0.000626,0.000891,0.00123,0.002569,4.061,4.061,4.532,4.532,0.994,,1.285,,1.459,,1.746,,1.961,,2.179,,2.356,,2.525,,2.848,,3.483,,3.985,,0.7665,,1.002,,1.157,,1.452,,1.683,,1.873,,2.051,,2.215,,2.516,,3.049,,3.41,,0.05,6.59
4,,7.25,0.49,0.3599,0.000573,0.000775,0.001039,0.002179,4.091,4.091,4.564,4.564,1.009,,1.306,,1.483,,1.777,,1.998,,2.217,,2.398,,2.569,,2.896,,3.539,,4.048,,0.7439,,0.9565,,1.093,,1.356,,1.562,,1.728,,1.885,,2.031,,2.298,,2.77,,3.094,,3.4,1.69
5,,2.5,15.19,0.3647,0.000548,0.000732,0.001079,0.002101,4.095,4.095,4.567,4.567,1.01,,1.308,,1.485,,1.779,,1.999,,2.218,,2.399,,2.57,,2.898,,3.545,,4.055,,0.7452,,0.9579,,1.097,,1.359,,1.57,,1.735,,1.893,,2.041,,2.31,,2.789,,3.116,,1.29,4.25
