Prog 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVICE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATOR=,js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOT=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROG.NAME=,NGTB_LowTemp.TST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN=,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T PT=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT=,@ -55 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVBCES,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,1.200kV,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,500 uA,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,2.00kV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,kV, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
1,,4.09,2.51,0.01279,0.000008,0.000006,0.000023,0.000038,5.829,5.829,6.065,6.065,1.56,,1.887,,1.895,,1.905,,1.905,,1.949,,1.982,,2.029,,2.159,,2.455,,2.688,,1.24,,0.9589,,1.083,,1.162,,1.314,,1.435,,1.526,,1.621,,1.711,,1.878,,2.189,,2.411,,1.75,10.69
2,,1.89,3.15,0.01249,0,0.000003,0,0.000004,5.837,5.837,6.073,6.073,1.566,,2.242,,1.911,,1.913,,1.912,,1.957,,1.988,,2.034,,2.163,,2.457,,2.689,,1.24,,0.9586,,1.082,,1.165,,1.317,,1.436,,1.525,,1.62,,1.709,,1.875,,2.183,,2.405,,5.2,6.75
3,,14.19,5.15,0.01555,0.00001,0.00001,0.000027,0.05325,5.779,5.779,6.013,6.013,1.523,,1.864,,1.857,,1.88,,1.875,,1.916,,1.953,,2.002,,2.133,,2.425,,2.655,,1.222,,0.996,,1.137,,1.223,,1.405,,1.546,,1.653,,1.763,,1.867,,2.062,,2.425,,2.688,,18.15,0.13
4,,3.5,0.3,0.0103,0.000011,0.000009,0.000019,0.000054,5.818,5.818,6.054,6.054,1.56,,1.913,,1.902,,1.922,,1.966,,1.977,,1.99,,2.039,,2.165,,2.458,,2.691,,1.234,,0.9589,,1.08,,1.163,,1.314,,1.437,,1.527,,1.621,,1.711,,1.878,,2.189,,2.411,,0.82,6.29
5,,2.73,3.37,0.00127,0.000004,0.000006,0.00001,0.000002,5.814,5.814,6.049,6.049,1.569,,1.92,,1.902,,1.909,,1.914,,1.951,,1.983,,2.033,,2.163,,2.458,,2.691,,1.236,,0.9589,,1.083,,1.162,,1.317,,1.44,,1.53,,1.625,,1.715,,1.884,,2.197,,2.422,,4.39,3.71
