Prog 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVICE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATOR=,nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOT=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROG.NAME=,NGTB_HighTemp.TST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STN=,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T PT=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT=,150C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
1,,999900,999900,8964,22.040001,21.700001,9.999,9.999,0.00566,0.00566,0.06755,0.06755,27.190001,,29.129999,,30.790001,,27.18,,27.65,,2.27,,2.508,,2.731,,3.163,,4.029,,4.745,,0.6007,,0.7995,,0.9345,,1.196,,1.407,,1.572,,1.734,,1.882,,2.155,,2.64,,2.971,,999900,999900
2,,20.360001,23.950001,91.720001,0.1477,0.2156,0.3069,0.4753,0.0265,0.0265,3.644,3.644,0.8104,,1.135,,1.341,,1.705,,1.986,,2.267,,2.505,,2.73,,3.167,,4.047,,4.789,,0.6035,,0.8023,,0.9407,,1.203,,1.412,,1.58,,1.741,,1.891,,2.165,,2.652,,2.985,,14.02,22.780001
3,,12.32,25.219999,92.650002,0.1483,0.2153,0.3052,0.4707,0.0254,0.0254,3.607,3.607,0.8153,,1.141,,1.348,,1.711,,1.997,,2.277,,2.515,,2.742,,3.179,,4.059,,4.792,,0.6087,,0.8142,,0.9559,,1.231,,1.448,,1.622,,1.789,,1.944,,2.227,,2.727,,3.066,,14.17,22.25
4,,30.09,21.09,92.519997,0.1501,0.2227,0.3252,0.5159,0.02593,0.02593,3.609,3.609,0.821,,1.151,,1.359,,1.727,,2.016,,2.299,,2.541,,2.77,,3.215,,4.116,,4.875,,0.6079,,0.812,,0.9528,,1.222,,1.437,,1.608,,1.773,,1.927,,2.207,,2.704,,3.042,,22.360001,19.85
5,,17,19.469999,90.470001,0.147,0.2184,0.3197,0.5097,0.02622,0.02622,3.63,3.63,0.8272,,1.162,,1.371,,1.742,,2.037,,2.317,,2.559,,2.788,,3.229,,4.116,,4.849,,0.6067,,0.8072,,0.9459,,1.213,,1.425,,1.593,,1.756,,1.907,,2.184,,2.677,,3.011,,22.49,15.12
